Epoch,Train Error,Test Error
0,0.141,0.15
1,0.142,0.154
2,0.141,0.157
3,0.125,0.138
4,0.131,0.137
5,0.151,0.163
6,0.137,0.144
7,0.133,0.144
8,0.13,0.14
9,0.139,0.136
10,0.139,0.143
11,0.17,0.184
12,0.12,0.123
13,0.122,0.157
14,0.133,0.138
15,0.15,0.158
16,0.143,0.15
17,0.144,0.153
18,0.154,0.151
19,0.147,0.148
20,0.119,0.13
21,0.137,0.152
22,0.147,0.147
23,0.138,0.158
24,0.124,0.121
25,0.137,0.14
26,0.139,0.152
27,0.126,0.152
28,0.151,0.143
29,0.145,0.161
30,0.119,0.131
31,0.132,0.121
32,0.154,0.158
33,0.124,0.14
34,0.159,0.14
35,0.123,0.121
36,0.13,0.147
37,0.126,0.135
38,0.141,0.138
39,0.126,0.144
40,0.138,0.147
41,0.109,0.121
42,0.144,0.154
43,0.122,0.152
44,0.148,0.145
45,0.148,0.181
46,0.128,0.143
47,0.144,0.174
48,0.126,0.142
49,0.145,0.146
50,0.123,0.122
51,0.162,0.184
52,0.144,0.176
53,0.164,0.16
54,0.133,0.145
55,0.134,0.138
56,0.13,0.138
57,0.117,0.149
58,0.157,0.162
59,0.139,0.152
60,0.133,0.148
61,0.14,0.127
62,0.136,0.133
63,0.149,0.17
64,0.135,0.177
65,0.147,0.162
66,0.138,0.164
67,0.127,0.121
68,0.139,0.165
69,0.135,0.138
70,0.161,0.172
71,0.157,0.162
72,0.124,0.136
73,0.127,0.136
74,0.153,0.157
75,0.167,0.189
76,0.153,0.154
77,0.135,0.14
78,0.142,0.136
79,0.153,0.16
80,0.128,0.174
81,0.135,0.161
82,0.143,0.134
83,0.146,0.155
84,0.131,0.124
85,0.162,0.174
86,0.133,0.133
87,0.148,0.147
88,0.149,0.148
89,0.136,0.149
90,0.155,0.182
91,0.133,0.148
92,0.141,0.149
93,0.117,0.13
94,0.136,0.148
95,0.132,0.15
96,0.122,0.145
97,0.146,0.167
98,0.114,0.129
99,0.148,0.145
100,0.161,0.198
101,0.138,0.132
102,0.138,0.148
103,0.15,0.152
104,0.127,0.131
105,0.126,0.127
106,0.146,0.157
107,0.124,0.142
108,0.141,0.149
109,0.133,0.15
110,0.136,0.131
111,0.13,0.156
112,0.137,0.132
113,0.133,0.151
114,0.156,0.143
115,0.121,0.14
116,0.12,0.115
117,0.128,0.143
118,0.125,0.148
119,0.121,0.131
120,0.118,0.135
121,0.123,0.138
122,0.14,0.142
123,0.158,0.172
124,0.145,0.135
125,0.11,0.141
126,0.124,0.127
127,0.117,0.128
128,0.133,0.149
129,0.137,0.163
130,0.117,0.131
131,0.141,0.147
132,0.156,0.175
133,0.119,0.148
134,0.138,0.145
135,0.134,0.159
136,0.125,0.145
137,0.163,0.164
138,0.133,0.142
139,0.15,0.186
140,0.157,0.168
141,0.13,0.134
142,0.13,0.136
143,0.139,0.145
144,0.13,0.153
145,0.139,0.15
146,0.144,0.154
147,0.124,0.129
148,0.126,0.137
149,0.135,0.148
150,0.136,0.146
151,0.144,0.164
152,0.121,0.135
153,0.12,0.132
154,0.138,0.144
155,0.142,0.16
156,0.159,0.152
157,0.13,0.134
158,0.136,0.15
159,0.141,0.152
160,0.13,0.151
161,0.128,0.118
162,0.148,0.159
163,0.132,0.141
164,0.146,0.159
165,0.141,0.153
166,0.13,0.141
167,0.139,0.146
168,0.115,0.136
169,0.14,0.156
170,0.109,0.122
171,0.12,0.132
172,0.154,0.157
173,0.149,0.185
174,0.136,0.129
175,0.124,0.135
176,0.12,0.146
177,0.119,0.13
178,0.131,0.162
179,0.123,0.141
180,0.152,0.156
181,0.117,0.139
182,0.111,0.115
183,0.129,0.159
184,0.108,0.138
185,0.116,0.122
186,0.149,0.164
187,0.138,0.142
188,0.134,0.159
189,0.134,0.149
190,0.158,0.167
191,0.138,0.144
192,0.133,0.153
193,0.145,0.147
194,0.133,0.146
195,0.16,0.152
196,0.128,0.148
197,0.135,0.146
198,0.154,0.173
199,0.109,0.147
200,0.142,0.149
201,0.146,0.144
202,0.127,0.134
203,0.153,0.184
204,0.153,0.144
205,0.127,0.143
206,0.125,0.135
207,0.12,0.136
208,0.162,0.138
209,0.136,0.147
210,0.137,0.146
211,0.149,0.161
212,0.129,0.162
213,0.157,0.163
214,0.122,0.155
215,0.15,0.144
216,0.156,0.183
217,0.16,0.168
218,0.16,0.166
219,0.127,0.144
220,0.14,0.145
221,0.135,0.14
222,0.137,0.159
223,0.126,0.148
224,0.127,0.132
225,0.157,0.18
226,0.163,0.183
227,0.138,0.166
228,0.132,0.138
229,0.153,0.153
230,0.131,0.166
231,0.135,0.128
232,0.137,0.136
233,0.151,0.184
234,0.116,0.124
235,0.127,0.132
236,0.117,0.147
237,0.128,0.153
238,0.128,0.14
239,0.13,0.129
240,0.125,0.135
241,0.127,0.161
242,0.143,0.166
243,0.114,0.127
244,0.152,0.144
245,0.116,0.152
246,0.132,0.144
247,0.131,0.142
248,0.112,0.138
249,0.133,0.142
250,0.13,0.141
251,0.152,0.149
252,0.153,0.158
253,0.137,0.14
254,0.126,0.133
255,0.151,0.16
256,0.143,0.151
257,0.165,0.179
258,0.151,0.163
259,0.181,0.171
260,0.118,0.149
261,0.161,0.173
262,0.136,0.16
263,0.127,0.145
264,0.151,0.164
265,0.152,0.138
266,0.129,0.14
267,0.131,0.139
268,0.135,0.127
269,0.15,0.144
270,0.12,0.149
271,0.144,0.128
272,0.12,0.138
273,0.147,0.143
274,0.141,0.144
275,0.148,0.159
276,0.132,0.124
277,0.115,0.126
278,0.132,0.141
279,0.132,0.139
280,0.139,0.144
281,0.162,0.148
282,0.154,0.169
283,0.166,0.178
284,0.14,0.132
285,0.144,0.157
286,0.154,0.147
287,0.148,0.151
288,0.132,0.164
289,0.14,0.153
290,0.149,0.155
291,0.126,0.129
292,0.133,0.12
293,0.152,0.169
294,0.159,0.152
295,0.132,0.144
296,0.117,0.138
297,0.152,0.14
298,0.12,0.139
299,0.13,0.151
300,0.124,0.131
301,0.139,0.164
302,0.154,0.15
303,0.136,0.158
304,0.145,0.156
305,0.115,0.123
306,0.129,0.148
307,0.127,0.123
308,0.144,0.137
309,0.132,0.146
310,0.128,0.144
311,0.127,0.137
312,0.143,0.147
313,0.142,0.147
314,0.126,0.127
315,0.146,0.145
316,0.126,0.148
317,0.121,0.141
318,0.133,0.145
319,0.13,0.125
320,0.144,0.156
321,0.161,0.169
322,0.129,0.125
323,0.118,0.124
324,0.125,0.133
325,0.14,0.156
326,0.117,0.123
327,0.164,0.179
328,0.132,0.155
329,0.124,0.139
330,0.149,0.152
331,0.127,0.147
332,0.154,0.16
333,0.163,0.156
334,0.129,0.133
335,0.16,0.183
336,0.136,0.143
337,0.141,0.158
338,0.149,0.157
339,0.113,0.143
340,0.137,0.157
341,0.141,0.163
342,0.148,0.166
343,0.143,0.155
344,0.137,0.139
345,0.116,0.13
346,0.125,0.131
347,0.121,0.138
