Epoch,Train Error,Test Error
0,0.07,0.087
1,0.07,0.087
2,0.051,0.079
3,0.055,0.073
4,0.059,0.081
5,0.041,0.071
6,0.053,0.072
7,0.054,0.072
8,0.046,0.069
9,0.047,0.075
10,0.041,0.063
11,0.049,0.076
12,0.034,0.055
13,0.05,0.065
14,0.041,0.077
15,0.039,0.059
16,0.051,0.066
17,0.051,0.072
18,0.038,0.06
19,0.042,0.074
20,0.041,0.057
21,0.033,0.06
22,0.044,0.06
23,0.034,0.063
24,0.038,0.073
25,0.036,0.052
26,0.039,0.067
27,0.036,0.053
28,0.036,0.062
29,0.039,0.045
30,0.044,0.063
31,0.036,0.066
32,0.05,0.073
33,0.045,0.061
34,0.039,0.054
35,0.041,0.054
36,0.039,0.049
37,0.037,0.066
38,0.036,0.057
39,0.032,0.061
40,0.037,0.05
41,0.048,0.063
42,0.033,0.055
43,0.046,0.066
44,0.038,0.059
45,0.04,0.071
46,0.049,0.059
47,0.038,0.056
48,0.046,0.078
49,0.041,0.065
50,0.037,0.056
51,0.037,0.046
52,0.037,0.064
53,0.031,0.067
54,0.041,0.051
55,0.047,0.073
56,0.035,0.05
57,0.036,0.059
58,0.041,0.057
59,0.031,0.06
60,0.043,0.064
61,0.042,0.063
62,0.037,0.056
63,0.031,0.061
64,0.041,0.066
65,0.039,0.057
66,0.045,0.059
67,0.051,0.071
68,0.048,0.051
69,0.043,0.071
70,0.041,0.068
71,0.036,0.061
72,0.035,0.055
73,0.049,0.074
74,0.041,0.068
75,0.034,0.063
76,0.037,0.065
77,0.039,0.071
78,0.038,0.049
79,0.042,0.055
80,0.038,0.059
81,0.042,0.062
82,0.045,0.052
83,0.035,0.054
84,0.036,0.047
85,0.043,0.056
86,0.041,0.059
87,0.042,0.054
88,0.038,0.058
89,0.045,0.071
90,0.04,0.055
91,0.038,0.063
92,0.039,0.064
93,0.044,0.053
94,0.034,0.057
95,0.039,0.059
96,0.045,0.057
97,0.046,0.061
98,0.037,0.052
99,0.046,0.072
100,0.056,0.071
101,0.039,0.056
102,0.038,0.056
103,0.039,0.056
