Epoch,Train Error,Test Error
0,0.077,0.061
1,0.038,0.037
2,0.034,0.043
3,0.05,0.049
4,0.029,0.038
5,0.032,0.039
6,0.044,0.049
7,0.042,0.046
8,0.046,0.053
9,0.034,0.046
10,0.039,0.033
11,0.025,0.037
12,0.032,0.032
13,0.02,0.024
14,0.022,0.027
15,0.019,0.037
16,0.026,0.026
17,0.022,0.021
18,0.031,0.028
19,0.026,0.033
20,0.021,0.022
21,0.02,0.018
22,0.026,0.028
23,0.021,0.023
24,0.028,0.041
25,0.024,0.028
26,0.027,0.031
27,0.025,0.027
28,0.013,0.019
29,0.025,0.023
30,0.018,0.027
31,0.029,0.03
32,0.013,0.017
33,0.02,0.015
34,0.019,0.018
35,0.02,0.021
36,0.011,0.008
37,0.018,0.015
38,0.013,0.019
39,0.017,0.024
40,0.015,0.013
41,0.022,0.016
42,0.017,0.016
43,0.016,0.017
44,0.01,0.018
45,0.027,0.026
46,0.031,0.031
47,0.015,0.019
48,0.02,0.031
49,0.014,0.014
50,0.019,0.021
51,0.015,0.026
52,0.024,0.025
53,0.024,0.024
54,0.015,0.017
55,0.027,0.027
56,0.016,0.02
57,0.016,0.019
58,0.024,0.028
59,0.019,0.019
60,0.017,0.017
61,0.012,0.01
62,0.013,0.014
63,0.016,0.022
64,0.016,0.009
65,0.013,0.011
66,0.019,0.016
67,0.019,0.013
68,0.012,0.013
69,0.013,0.012
70,0.023,0.024
71,0.021,0.019
72,0.02,0.021
73,0.019,0.019
74,0.017,0.03
75,0.019,0.015
76,0.016,0.013
77,0.014,0.013
78,0.019,0.02
79,0.011,0.018
80,0.017,0.019
81,0.014,0.016
82,0.018,0.02
83,0.017,0.016
84,0.009,0.014
85,0.017,0.019
86,0.019,0.019
87,0.02,0.022
88,0.013,0.014
89,0.014,0.015
90,0.021,0.018
91,0.017,0.012
92,0.014,0.016
93,0.01,0.007
94,0.014,0.023
95,0.019,0.023
96,0.015,0.023
97,0.011,0.012
98,0.015,0.022
99,0.015,0.015
100,0.016,0.015
101,0.009,0.015
102,0.011,0.012
103,0.012,0.012
104,0.017,0.014
105,0.02,0.018
106,0.013,0.014
107,0.017,0.013
108,0.012,0.007
109,0.014,0.015
110,0.015,0.015
111,0.017,0.018
112,0.012,0.016
113,0.016,0.014
114,0.012,0.012
115,0.01,0.015
116,0.016,0.015
117,0.015,0.016
118,0.011,0.014
119,0.011,0.008
120,0.012,0.015
121,0.016,0.023
122,0.01,0.016
123,0.015,0.02
124,0.012,0.013
125,0.01,0.014
126,0.014,0.018
127,0.011,0.01
128,0.015,0.016
129,0.02,0.023
130,0.018,0.012
131,0.016,0.017
132,0.014,0.016
133,0.014,0.016
134,0.015,0.013
135,0.011,0.009
136,0.014,0.011
137,0.009,0.01
138,0.012,0.021
139,0.012,0.014
140,0.013,0.019
141,0.007,0.01
142,0.018,0.019
143,0.023,0.011
144,0.013,0.012
145,0.009,0.011
146,0.015,0.018
147,0.015,0.018
148,0.012,0.02
149,0.019,0.016
150,0.012,0.013
151,0.019,0.018
152,0.014,0.018
153,0.016,0.014
154,0.013,0.015
155,0.012,0.009
156,0.014,0.012
157,0.011,0.011
158,0.018,0.011
159,0.017,0.017
160,0.013,0.012
161,0.011,0.01
162,0.013,0.012
163,0.01,0.015
164,0.008,0.009
165,0.011,0.01
166,0.013,0.015
167,0.018,0.013
168,0.009,0.014
169,0.014,0.012
170,0.016,0.02
171,0.012,0.011
172,0.01,0.013
173,0.011,0.019
174,0.011,0.011
175,0.007,0.013
176,0.014,0.023
177,0.009,0.011
178,0.011,0.02
179,0.015,0.015
180,0.015,0.016
181,0.022,0.016
182,0.01,0.014
183,0.013,0.016
184,0.009,0.012
185,0.012,0.013
186,0.014,0.011
187,0.01,0.014
188,0.007,0.014
189,0.01,0.012
190,0.01,0.009
191,0.012,0.016
192,0.012,0.016
193,0.01,0.017
194,0.014,0.014
195,0.013,0.015
196,0.011,0.015
197,0.009,0.011
198,0.008,0.015
199,0.009,0.012
200,0.012,0.016
201,0.012,0.008
202,0.01,0.015
203,0.013,0.01
204,0.013,0.011
205,0.017,0.016
206,0.009,0.012
207,0.015,0.02
208,0.014,0.012
209,0.01,0.007
210,0.012,0.013
211,0.011,0.017
212,0.007,0.013
213,0.009,0.006
214,0.014,0.01
215,0.009,0.012
216,0.005,0.01
217,0.015,0.014
218,0.01,0.019
219,0.017,0.017
220,0.013,0.007
221,0.008,0.004
222,0.009,0.008
223,0.01,0.01
224,0.01,0.01
225,0.013,0.016
226,0.01,0.014
227,0.016,0.012
228,0.009,0.013
229,0.007,0.016
230,0.009,0.013
231,0.009,0.014
232,0.01,0.015
233,0.01,0.01
234,0.012,0.009
235,0.01,0.014
236,0.013,0.011
237,0.01,0.015
238,0.012,0.014
239,0.013,0.018
240,0.01,0.017
241,0.014,0.017
242,0.014,0.021
243,0.016,0.009
244,0.008,0.012
245,0.009,0.013
246,0.008,0.013
247,0.01,0.011
248,0.007,0.009
249,0.013,0.012
250,0.01,0.01
251,0.01,0.01
252,0.011,0.018
253,0.008,0.014
254,0.012,0.013
255,0.016,0.014
256,0.012,0.011
257,0.009,0.009
258,0.009,0.013
259,0.014,0.013
260,0.012,0.011
261,0.007,0.013
262,0.007,0.005
263,0.012,0.011
264,0.008,0.008
265,0.011,0.009
266,0.009,0.007
267,0.008,0.011
268,0.009,0.008
269,0.017,0.017
270,0.011,0.014
271,0.013,0.006
272,0.005,0.009
273,0.011,0.007
274,0.016,0.018
275,0.012,0.015
276,0.011,0.013
277,0.013,0.014
278,0.007,0.01
279,0.01,0.018
280,0.013,0.012
281,0.006,0.004
282,0.015,0.012
283,0.011,0.011
284,0.012,0.017
285,0.01,0.01
286,0.008,0.012
287,0.01,0.01
288,0.007,0.012
289,0.013,0.015
290,0.009,0.01
291,0.011,0.016
292,0.011,0.013
293,0.008,0.012
294,0.011,0.009
295,0.012,0.011
296,0.01,0.012
297,0.013,0.016
298,0.008,0.01
299,0.007,0.011
300,0.013,0.012
301,0.009,0.013
302,0.014,0.016
303,0.011,0.012
304,0.014,0.014
305,0.014,0.015
306,0.008,0.013
307,0.014,0.019
308,0.014,0.015
309,0.013,0.011
310,0.008,0.008
311,0.013,0.012
312,0.013,0.014
313,0.007,0.01
314,0.008,0.008
315,0.011,0.012
316,0.012,0.01
317,0.006,0.005
318,0.012,0.015
319,0.012,0.011
320,0.007,0.013
321,0.012,0.017
322,0.007,0.012
323,0.009,0.013
324,0.012,0.012
325,0.011,0.015
326,0.014,0.012
327,0.006,0.016
328,0.011,0.011
329,0.008,0.015
330,0.012,0.015
331,0.007,0.01
332,0.007,0.008
333,0.006,0.011
334,0.011,0.014
335,0.006,0.011
336,0.007,0.015
337,0.008,0.016
338,0.012,0.012
339,0.008,0.013
340,0.009,0.016
341,0.008,0.007
342,0.005,0.01
343,0.017,0.015
344,0.009,0.006
345,0.014,0.011
