Epoch,Train Error,Test Error
318,0.028,0.042
319,0.033,0.032
320,0.033,0.04
321,0.032,0.036
322,0.033,0.032
323,0.025,0.037
324,0.031,0.04
325,0.026,0.035
326,0.025,0.039
327,0.025,0.037
328,0.032,0.037
329,0.027,0.037
330,0.025,0.042
331,0.033,0.041
332,0.03,0.046
333,0.03,0.039
334,0.032,0.041
335,0.026,0.038
336,0.03,0.035
337,0.035,0.045
338,0.029,0.029
339,0.03,0.041
340,0.023,0.038
341,0.028,0.044
342,0.03,0.045
343,0.034,0.046
344,0.029,0.034
345,0.03,0.038
346,0.025,0.04
347,0.037,0.041
348,0.031,0.034
349,0.027,0.036
350,0.024,0.04
351,0.029,0.037
352,0.03,0.04
353,0.03,0.039
354,0.032,0.036
355,0.026,0.035
356,0.024,0.036
357,0.027,0.035
358,0.032,0.041
359,0.028,0.043
360,0.026,0.041
361,0.027,0.039
362,0.027,0.039
363,0.028,0.042
364,0.026,0.043
365,0.025,0.042
366,0.025,0.035
367,0.027,0.043
368,0.026,0.038
369,0.032,0.052
370,0.029,0.04
371,0.029,0.045
372,0.03,0.045
373,0.032,0.044
374,0.026,0.042
375,0.034,0.045
376,0.026,0.038
377,0.022,0.036
378,0.036,0.041
379,0.029,0.035
380,0.032,0.042
381,0.031,0.041
382,0.029,0.041
383,0.029,0.039
384,0.027,0.038
385,0.026,0.041
386,0.037,0.043
387,0.033,0.046
388,0.025,0.042
389,0.026,0.04
390,0.025,0.035
391,0.028,0.035
392,0.025,0.042
393,0.024,0.039
394,0.023,0.041
395,0.025,0.039
396,0.027,0.045
397,0.024,0.04
398,0.037,0.038
399,0.027,0.038
400,0.027,0.038
401,0.03,0.04
402,0.034,0.042
403,0.03,0.038
404,0.033,0.041
405,0.032,0.042
406,0.03,0.035
407,0.028,0.044
408,0.039,0.04
409,0.027,0.038
410,0.026,0.038
411,0.028,0.041
412,0.029,0.043
413,0.032,0.036
414,0.024,0.033
415,0.029,0.041
416,0.03,0.039
417,0.025,0.036
418,0.024,0.042
419,0.025,0.033
420,0.023,0.048
421,0.028,0.03
422,0.03,0.046
423,0.036,0.05
424,0.028,0.034
425,0.02,0.039
426,0.023,0.034
427,0.026,0.046
428,0.027,0.044
429,0.027,0.039
430,0.028,0.039
431,0.03,0.04
432,0.028,0.033
433,0.023,0.038
434,0.026,0.044
435,0.031,0.042
436,0.027,0.033
437,0.026,0.042
438,0.035,0.041
439,0.03,0.037
440,0.031,0.034
441,0.026,0.036
442,0.027,0.039
443,0.028,0.038
444,0.027,0.038
445,0.022,0.039
446,0.022,0.032
447,0.027,0.036
448,0.026,0.036
449,0.03,0.035
450,0.026,0.036
451,0.029,0.039
452,0.03,0.043
453,0.026,0.039
454,0.03,0.038
455,0.035,0.037
