Epoch,Train Error,Test Error
0,0.045,0.053
1,0.05,0.056
2,0.055,0.073
3,0.042,0.047
4,0.034,0.04
5,0.03,0.044
6,0.024,0.029
7,0.036,0.027
8,0.022,0.025
9,0.018,0.018
10,0.025,0.032
11,0.02,0.021
12,0.03,0.027
13,0.027,0.026
14,0.026,0.028
15,0.024,0.034
16,0.022,0.037
17,0.012,0.013
18,0.024,0.023
19,0.024,0.019
20,0.018,0.024
21,0.019,0.019
22,0.022,0.027
23,0.022,0.021
24,0.022,0.026
25,0.023,0.03
26,0.018,0.03
27,0.024,0.019
28,0.019,0.025
29,0.021,0.035
30,0.017,0.022
31,0.022,0.019
32,0.011,0.018
33,0.018,0.017
34,0.029,0.025
35,0.008,0.013
36,0.014,0.023
37,0.018,0.024
38,0.021,0.024
39,0.011,0.017
40,0.014,0.014
41,0.012,0.012
42,0.024,0.022
43,0.016,0.024
44,0.023,0.023
45,0.013,0.016
46,0.018,0.022
47,0.016,0.017
48,0.014,0.023
49,0.012,0.014
50,0.019,0.026
51,0.01,0.02
52,0.008,0.013
53,0.013,0.015
54,0.012,0.019
55,0.015,0.018
56,0.011,0.016
57,0.011,0.008
58,0.014,0.015
59,0.01,0.011
60,0.012,0.022
61,0.015,0.01
62,0.014,0.019
63,0.016,0.016
64,0.013,0.014
65,0.009,0.012
66,0.021,0.022
67,0.008,0.021
68,0.014,0.017
69,0.008,0.01
70,0.013,0.01
71,0.016,0.021
72,0.011,0.013
73,0.013,0.017
74,0.01,0.016
75,0.007,0.019
76,0.013,0.016
77,0.008,0.012
78,0.008,0.013
79,0.017,0.016
80,0.012,0.019
81,0.01,0.009
82,0.015,0.018
83,0.011,0.01
84,0.009,0.018
85,0.011,0.018
86,0.009,0.014
87,0.01,0.01
88,0.015,0.011
89,0.012,0.018
90,0.012,0.015
91,0.012,0.015
92,0.012,0.017
93,0.013,0.012
94,0.015,0.016
95,0.023,0.022
96,0.013,0.013
97,0.018,0.014
98,0.01,0.014
99,0.013,0.017
100,0.008,0.017
101,0.012,0.013
102,0.011,0.015
103,0.012,0.024
104,0.009,0.023
105,0.009,0.013
106,0.007,0.015
107,0.007,0.012
108,0.01,0.018
109,0.009,0.013
110,0.013,0.014
111,0.012,0.013
112,0.019,0.019
113,0.01,0.015
114,0.01,0.01
115,0.012,0.016
116,0.007,0.007
117,0.008,0.015
118,0.011,0.013
119,0.009,0.015
120,0.008,0.016
121,0.008,0.011
122,0.011,0.013
123,0.007,0.011
124,0.012,0.014
125,0.006,0.009
126,0.012,0.015
127,0.011,0.011
128,0.01,0.008
129,0.012,0.016
130,0.01,0.015
131,0.011,0.017
132,0.005,0.013
133,0.009,0.008
134,0.007,0.012
135,0.007,0.007
136,0.011,0.012
137,0.006,0.014
138,0.009,0.014
139,0.006,0.017
140,0.012,0.019
141,0.014,0.023
142,0.01,0.008
143,0.006,0.013
144,0.01,0.019
145,0.006,0.019
146,0.009,0.017
147,0.008,0.015
148,0.006,0.011
149,0.006,0.014
150,0.006,0.013
151,0.007,0.015
152,0.004,0.014
153,0.012,0.014
154,0.009,0.01
155,0.004,0.011
156,0.012,0.012
157,0.008,0.01
158,0.01,0.01
159,0.008,0.015
160,0.015,0.023
161,0.008,0.014
162,0.007,0.003
163,0.01,0.01
164,0.005,0.013
165,0.011,0.014
166,0.009,0.013
167,0.007,0.008
168,0.008,0.01
169,0.01,0.014
170,0.007,0.009
171,0.004,0.012
172,0.007,0.01
173,0.005,0.008
174,0.007,0.015
175,0.007,0.008
176,0.003,0.012
177,0.01,0.011
178,0.009,0.017
179,0.004,0.015
180,0.009,0.011
181,0.007,0.014
182,0.007,0.014
183,0.015,0.016
184,0.007,0.012
185,0.008,0.011
186,0.004,0.005
187,0.01,0.011
188,0.005,0.014
189,0.008,0.017
190,0.007,0.007
191,0.009,0.013
192,0.006,0.011
193,0.011,0.013
194,0.005,0.013
195,0.006,0.01
196,0.004,0.013
197,0.005,0.015
198,0.011,0.007
199,0.009,0.019
200,0.003,0.012
201,0.009,0.011
202,0.012,0.02
203,0.007,0.011
204,0.014,0.021
205,0.007,0.014
206,0.008,0.014
207,0.01,0.018
208,0.005,0.011
209,0.005,0.007
210,0.009,0.018
211,0.011,0.013
212,0.006,0.015
213,0.009,0.009
214,0.01,0.015
215,0.004,0.012
216,0.009,0.014
217,0.009,0.01
218,0.006,0.008
219,0.013,0.02
220,0.003,0.009
221,0.007,0.015
222,0.006,0.016
223,0.007,0.007
224,0.007,0.019
225,0.003,0.015
226,0.007,0.011
227,0.008,0.01
228,0.009,0.011
229,0.004,0.009
230,0.011,0.006
231,0.008,0.012
232,0.007,0.016
233,0.007,0.011
234,0.003,0.004
235,0.005,0.008
236,0.006,0.017
237,0.009,0.01
238,0.006,0.014
239,0.013,0.017
240,0.007,0.008
241,0.005,0.01
242,0.01,0.013
243,0.008,0.018
244,0.003,0.009
245,0.004,0.008
246,0.01,0.015
247,0.008,0.015
248,0.003,0.015
249,0.007,0.014
250,0.005,0.012
251,0.01,0.015
252,0.005,0.01
253,0.005,0.007
254,0.01,0.01
255,0.007,0.011
256,0.006,0.011
257,0.011,0.019
258,0.013,0.017
259,0.009,0.01
260,0.007,0.009
261,0.006,0.01
262,0.006,0.013
263,0.006,0.007
264,0.009,0.01
265,0.009,0.013
266,0.007,0.006
267,0.007,0.008
268,0.004,0.009
269,0.006,0.01
270,0.007,0.01
271,0.004,0.007
272,0.013,0.007
273,0.007,0.01
274,0.006,0.009
275,0.005,0.007
276,0.008,0.007
277,0.005,0.01
278,0.007,0.012
279,0.007,0.014
280,0.004,0.013
281,0.003,0.01
282,0.007,0.009
283,0.009,0.014
284,0.005,0.01
285,0.004,0.012
286,0.003,0.007
287,0.01,0.009
288,0.008,0.013
289,0.007,0.014
290,0.006,0.013
291,0.004,0.012
292,0.007,0.014
293,0.006,0.013
294,0.01,0.017
295,0.005,0.009
296,0.004,0.007
297,0.004,0.01
298,0.006,0.014
299,0.008,0.014
300,0.002,0.011
301,0.009,0.013
302,0.003,0.011
303,0.006,0.008
304,0.008,0.006
305,0.007,0.01
306,0.003,0.006
307,0.011,0.009
308,0.007,0.007
309,0.007,0.009
310,0.01,0.014
311,0.005,0.01
312,0.007,0.01
313,0.005,0.012
314,0.006,0.01
315,0.003,0.01
316,0.004,0.007
317,0.005,0.01
318,0.005,0.017
319,0.004,0.005
320,0.008,0.015
321,0.004,0.011
322,0.007,0.009
323,0.006,0.011
324,0.007,0.017
325,0.001,0.013
326,0.004,0.012
327,0.004,0.011
328,0.004,0.013
329,0.004,0.012
330,0.01,0.013
331,0.005,0.005
332,0.004,0.007
333,0.005,0.009
334,0.005,0.006
335,0.005,0.011
336,0.008,0.008
337,0.005,0.007
338,0.006,0.009
339,0.006,0.013
340,0.005,0.01
341,0.009,0.013
342,0.006,0.007
343,0.005,0.011
344,0.006,0.007
345,0.003,0.011
346,0.002,0.009
347,0.006,0.011
348,0.004,0.003
349,0.008,0.01
350,0.004,0.014
351,0.002,0.008
352,0.006,0.008
353,0.011,0.011
354,0.004,0.008
355,0.003,0.011
356,0.003,0.014
357,0.007,0.013
358,0.006,0.01
359,0.004,0.012
360,0.006,0.013
361,0.002,0.004
362,0.004,0.008
363,0.005,0.009
364,0.005,0.008
365,0.005,0.015
366,0.006,0.013
367,0.006,0.01
368,0.002,0.009
369,0.006,0.01
370,0.007,0.013
371,0.006,0.013
372,0.005,0.017
373,0.006,0.012
374,0.003,0.008
375,0.008,0.012
376,0.006,0.015
377,0.007,0.018
378,0.007,0.014
379,0.007,0.013
380,0.003,0.01
381,0.007,0.01
382,0.008,0.007
383,0.009,0.013
384,0.006,0.011
385,0.005,0.012
386,0.006,0.009
387,0.005,0.011
388,0.005,0.01
389,0.005,0.007
390,0.008,0.008
391,0.006,0.004
392,0.005,0.005
393,0.007,0.01
394,0.007,0.01
395,0.002,0.012
396,0.004,0.008
397,0.004,0.012
398,0.005,0.012
399,0.004,0.01
400,0.001,0.01
401,0.006,0.012
402,0.003,0.007
403,0.002,0.008
404,0.009,0.01
405,0.006,0.012
406,0.002,0.012
407,0.004,0.014
408,0.006,0.015
409,0.004,0.007
410,0.004,0.01
411,0.006,0.009
412,0.004,0.012
413,0.007,0.012
414,0.005,0.011
415,0.005,0.009
416,0.001,0.007
417,0.004,0.007
418,0.009,0.006
419,0.006,0.007
420,0.005,0.009
421,0.002,0.008
422,0.002,0.008
423,0.003,0.014
424,0.004,0.01
425,0.003,0.014
426,0.005,0.01
427,0.001,0.009
428,0.0,0.009
429,0.0,0.009
430,0.0,0.009
431,0.0,0.009
432,0.0,0.009
433,0.0,0.009
434,0.0,0.009
435,0.0,0.009
436,0.0,0.009
437,0.0,0.009
438,0.0,0.009
439,0.0,0.009
440,0.0,0.009
441,0.0,0.009
442,0.0,0.009
443,0.0,0.009
444,0.0,0.009
445,0.0,0.009
446,0.0,0.009
447,0.0,0.009
448,0.0,0.009
449,0.0,0.009
450,0.0,0.009
451,0.0,0.009
452,0.0,0.009
453,0.0,0.009
454,0.0,0.009
455,0.0,0.009
456,0.0,0.009
457,0.0,0.009
458,0.0,0.009
459,0.0,0.009
460,0.0,0.009
461,0.0,0.009
462,0.0,0.009
463,0.0,0.009
464,0.0,0.009
465,0.0,0.009
466,0.0,0.009
467,0.0,0.009
468,0.0,0.009
469,0.0,0.009
470,0.0,0.009
471,0.0,0.009
472,0.0,0.009
473,0.0,0.009
474,0.0,0.009
475,0.0,0.009
476,0.0,0.009
477,0.0,0.009
478,0.0,0.009
